Comparing the following files: 
hadleigh_front_s28_v2/,  hadleigh_front_s27_v2/,  

Correlation cuttoff is 1
landmark(s),  hadleigh_front_s28_v2_vs_hadleigh_front_s27_v2,  average
(359, 463),     -0.38893,       -0.38893
(265, 286),     -0.38871,       -0.38871
(190, 374),     -0.38865,       -0.38865
(130, 246),     -0.38754,       -0.38754
(263, 384),     -0.38729,       -0.38729
(159, 282),     -0.38706,       -0.38706
(7, 265),     -0.38689,       -0.38689
(154, 374),     -0.38589,       -0.38589
(155, 382),     -0.38574,       -0.38574
(296, 353),     -0.38543,       -0.38543
(282, 466),     -0.38528,       -0.38528
(295, 385),     -0.38487,       -0.38487
(112, 341),     -0.38444,       -0.38444
(286, 384),     -0.38402,       -0.38402
(339, 382),     -0.38367,       -0.38367
(382, 386),     -0.38357,       -0.38357
(293, 398),     -0.38357,       -0.38357
(22, 339),     -0.38218,       -0.38218
(173, 373),     -0.38188,       -0.38188
(28, 253),     -0.38139,       -0.38139
(27, 159),     -0.38128,       -0.38128
(158, 339),     -0.38121,       -0.38121
(159, 285),     -0.38114,       -0.38114
(300, 336),     -0.38031,       -0.38031
(253, 255),     -0.38018,       -0.38018
(380, 466),     -0.38013,       -0.38013
(70, 247),     -0.37983,       -0.37983
(386, 387),     -0.37983,       -0.37983
(159, 295),     -0.37938,       -0.37938
(283, 383),     -0.37918,       -0.37918
(249, 276),     -0.37851,       -0.37851
(257, 387),     -0.37838,       -0.37838
(154, 373),     -0.37822,       -0.37822
(243, 255),     -0.37698,       -0.37698
(283, 353),     -0.37512,       -0.37512
(63, 246),     -0.37505,       -0.37505
(56, 252),     -0.37487,       -0.37487
(255, 353),     -0.37463,       -0.37463
(384, 463),     -0.37371,       -0.37371
(173, 374),     -0.37369,       -0.37369
(56, 293),     -0.37346,       -0.37346
(27, 339),     -0.3732,       -0.3732
(334, 466),     -0.37308,       -0.37308
(249, 252),     -0.37287,       -0.37287
(130, 265),     -0.37269,       -0.37269
(256, 388),     -0.37242,       -0.37242
(28, 334),     -0.37162,       -0.37162
(243, 390),     -0.37161,       -0.37161
(256, 263),     -0.3714,       -0.3714
(107, 383),     -0.37134,       -0.37134
(296, 300),     -0.37118,       -0.37118
(25, 265),     -0.37102,       -0.37102
(112, 390),     -0.37083,       -0.37083
(341, 386),     -0.37028,       -0.37028
(158, 247),     -0.37026,       -0.37026
(33, 265),     -0.37005,       -0.37005
(22, 265),     -0.36942,       -0.36942
(374, 380),     -0.3692,       -0.3692
(374, 466),     -0.36795,       -0.36795
(259, 285),     -0.36791,       -0.36791
(133, 256),     -0.36773,       -0.36773
(157, 255),     -0.36756,       -0.36756
(381, 386),     -0.36731,       -0.36731
(25, 163),     -0.36703,       -0.36703
(145, 339),     -0.36683,       -0.36683
(373, 463),     -0.36672,       -0.36672
(22, 253),     -0.36638,       -0.36638
(112, 380),     -0.36608,       -0.36608
(23, 265),     -0.36585,       -0.36585
(384, 398),     -0.36559,       -0.36559
(193, 390),     -0.36533,       -0.36533
(286, 383),     -0.36502,       -0.36502
(295, 383),     -0.36479,       -0.36479
(56, 158),     -0.36437,       -0.36437
(56, 295),     -0.36362,       -0.36362
(362, 390),     -0.36284,       -0.36284
(259, 286),     -0.36215,       -0.36215
(398, 463),     -0.36188,       -0.36188
(112, 381),     -0.36049,       -0.36049
(159, 283),     -0.36034,       -0.36034
(53, 161),     -0.36027,       -0.36027
(28, 63),     -0.36005,       -0.36005
(156, 265),     -0.35949,       -0.35949
(28, 336),     -0.35888,       -0.35888
(249, 384),     -0.35815,       -0.35815
(283, 295),     -0.35756,       -0.35756
(26, 341),     -0.35691,       -0.35691
(112, 154),     -0.35593,       -0.35593
(52, 159),     -0.35452,       -0.35452
(27, 70),     -0.35435,       -0.35435
(249, 381),     -0.35401,       -0.35401
