Comparing the following files: 
kelly_front_s28_v2/,  kelly_front_s27_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s28_v2_vs_kelly_front_s27_v2,  average
(144, 153),     -0.14987,       -0.14987
(296, 467),     -0.14957,       -0.14957
(160, 296),     -0.14939,       -0.14939
(112, 144),     -0.14936,       -0.14936
(7, 259),     -0.14921,       -0.14921
(52, 285),     -0.14902,       -0.14902
(55, 70),     -0.14882,       -0.14882
(28, 105),     -0.14881,       -0.14881
(66, 173),     -0.14879,       -0.14879
(385, 466),     -0.14853,       -0.14853
(46, 247),     -0.14845,       -0.14845
(63, 293),     -0.1484,       -0.1484
(286, 336),     -0.14833,       -0.14833
(7, 285),     -0.148,       -0.148
(300, 339),     -0.14773,       -0.14773
(246, 383),     -0.14765,       -0.14765
(385, 414),     -0.14752,       -0.14752
(28, 70),     -0.14729,       -0.14729
(52, 334),     -0.14724,       -0.14724
(33, 160),     -0.14718,       -0.14718
(105, 293),     -0.14712,       -0.14712
(33, 383),     -0.14705,       -0.14705
(24, 70),     -0.14672,       -0.14672
(70, 386),     -0.1466,       -0.1466
(53, 293),     -0.1465,       -0.1465
(263, 386),     -0.1464,       -0.1464
(70, 359),     -0.14612,       -0.14612
(52, 283),     -0.14599,       -0.14599
(246, 353),     -0.14595,       -0.14595
(286, 466),     -0.14588,       -0.14588
(33, 353),     -0.14579,       -0.14579
(33, 285),     -0.14572,       -0.14572
(70, 334),     -0.14568,       -0.14568
(70, 384),     -0.14561,       -0.14561
(65, 293),     -0.14557,       -0.14557
(65, 387),     -0.1455,       -0.1455
(255, 381),     -0.14547,       -0.14547
(130, 334),     -0.14536,       -0.14536
(107, 466),     -0.14505,       -0.14505
(27, 300),     -0.14493,       -0.14493
(70, 385),     -0.14475,       -0.14475
(65, 334),     -0.14462,       -0.14462
(362, 463),     -0.14456,       -0.14456
(52, 293),     -0.1445,       -0.1445
(252, 463),     -0.14433,       -0.14433
(247, 276),     -0.14429,       -0.14429
(296, 388),     -0.14429,       -0.14429
(159, 334),     -0.14421,       -0.14421
(27, 55),     -0.14392,       -0.14392
(110, 153),     -0.14374,       -0.14374
(30, 276),     -0.14356,       -0.14356
(193, 300),     -0.14352,       -0.14352
(29, 336),     -0.14348,       -0.14348
(300, 417),     -0.14319,       -0.14319
(46, 383),     -0.14315,       -0.14315
(46, 388),     -0.14278,       -0.14278
(55, 388),     -0.14266,       -0.14266
(285, 296),     -0.14211,       -0.14211
(384, 466),     -0.14209,       -0.14209
(193, 276),     -0.14196,       -0.14196
(70, 260),     -0.14191,       -0.14191
(70, 257),     -0.14186,       -0.14186
(386, 466),     -0.1418,       -0.1418
(53, 300),     -0.14176,       -0.14176
(263, 300),     -0.14176,       -0.14176
(53, 334),     -0.14141,       -0.14141
(63, 383),     -0.14113,       -0.14113
(105, 276),     -0.14109,       -0.14109
(283, 467),     -0.14109,       -0.14109
(252, 254),     -0.14103,       -0.14103
(65, 263),     -0.14084,       -0.14084
(163, 353),     -0.14062,       -0.14062
(285, 293),     -0.14043,       -0.14043
(160, 259),     -0.14041,       -0.14041
(46, 387),     -0.14024,       -0.14024
(52, 336),     -0.14016,       -0.14016
(52, 65),     -0.14015,       -0.14015
(107, 388),     -0.14002,       -0.14002
(55, 293),     -0.13974,       -0.13974
(33, 259),     -0.13877,       -0.13877
(70, 336),     -0.13859,       -0.13859
(246, 259),     -0.13857,       -0.13857
(29, 293),     -0.13836,       -0.13836
(63, 300),     -0.13812,       -0.13812
(33, 246),     -0.13804,       -0.13804
(53, 353),     -0.138,       -0.138
(157, 257),     -0.13769,       -0.13769
(65, 157),     -0.13762,       -0.13762
(110, 300),     -0.13727,       -0.13727
(130, 246),     -0.13725,       -0.13725
(417, 466),     -0.13724,       -0.13724
(23, 243),     -0.13715,       -0.13715
(258, 336),     -0.13713,       -0.13713
(70, 300),     -0.13704,       -0.13704
(295, 359),     -0.13669,       -0.13669
(154, 243),     -0.13663,       -0.13663
(160, 285),     -0.13657,       -0.13657
(46, 466),     -0.13651,       -0.13651
(385, 417),     -0.13646,       -0.13646
(161, 383),     -0.13638,       -0.13638
(52, 296),     -0.13635,       -0.13635
(247, 282),     -0.13623,       -0.13623
(29, 334),     -0.13611,       -0.13611
(27, 296),     -0.13596,       -0.13596
(55, 466),     -0.13589,       -0.13589
(46, 265),     -0.13589,       -0.13589
(247, 285),     -0.13582,       -0.13582
(55, 387),     -0.13579,       -0.13579
(193, 258),     -0.13575,       -0.13575
(70, 339),     -0.13572,       -0.13572
(157, 336),     -0.13542,       -0.13542
(56, 173),     -0.13527,       -0.13527
(56, 388),     -0.13496,       -0.13496
(52, 276),     -0.13479,       -0.13479
(53, 388),     -0.13473,       -0.13473
(161, 259),     -0.13462,       -0.13462
(52, 300),     -0.13461,       -0.13461
