Comparing the following files: 
kelly_front_s2_v2/,  hadleigh_front_s2_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s2_v2_vs_hadleigh_front_s2_v2,  average
(157, 190),     -0.26293,       -0.26293
(130, 190),     -0.26288,       -0.26288
(257, 258),     -0.26239,       -0.26239
(382, 386),     -0.26179,       -0.26179
(283, 300),     -0.26135,       -0.26135
(256, 260),     -0.26113,       -0.26113
(23, 25),     -0.2605,       -0.2605
(26, 163),     -0.26002,       -0.26002
(52, 154),     -0.25978,       -0.25978
(260, 362),     -0.25921,       -0.25921
(385, 398),     -0.25916,       -0.25916
(110, 246),     -0.2583,       -0.2583
(260, 341),     -0.25811,       -0.25811
(283, 362),     -0.2579,       -0.2579
(110, 161),     -0.25785,       -0.25785
(380, 387),     -0.25664,       -0.25664
(341, 388),     -0.25647,       -0.25647
(253, 388),     -0.25638,       -0.25638
(387, 398),     -0.25592,       -0.25592
(163, 190),     -0.25574,       -0.25574
(22, 160),     -0.25543,       -0.25543
(65, 163),     -0.25542,       -0.25542
(296, 362),     -0.25533,       -0.25533
(53, 145),     -0.25528,       -0.25528
(153, 160),     -0.25515,       -0.25515
(258, 463),     -0.25511,       -0.25511
(256, 296),     -0.2551,       -0.2551
(145, 153),     -0.25412,       -0.25412
(252, 257),     -0.25372,       -0.25372
(382, 467),     -0.25351,       -0.25351
(110, 247),     -0.2533,       -0.2533
(384, 386),     -0.25308,       -0.25308
(256, 388),     -0.25292,       -0.25292
(253, 259),     -0.25274,       -0.25274
(22, 110),     -0.2527,       -0.2527
(252, 388),     -0.25189,       -0.25189
(24, 33),     -0.25152,       -0.25152
(253, 466),     -0.25116,       -0.25116
(52, 190),     -0.25011,       -0.25011
(144, 154),     -0.24988,       -0.24988
(260, 463),     -0.2498,       -0.2498
(283, 341),     -0.2498,       -0.2498
(52, 243),     -0.24938,       -0.24938
(7, 22),     -0.24932,       -0.24932
(24, 29),     -0.24916,       -0.24916
(130, 144),     -0.2486,       -0.2486
(257, 414),     -0.24796,       -0.24796
(52, 112),     -0.24759,       -0.24759
(24, 160),     -0.24729,       -0.24729
(144, 159),     -0.24685,       -0.24685
(256, 283),     -0.24677,       -0.24677
(374, 387),     -0.2466,       -0.2466
(52, 155),     -0.24655,       -0.24655
(283, 463),     -0.24615,       -0.24615
(282, 339),     -0.24605,       -0.24605
(163, 243),     -0.24548,       -0.24548
(33, 145),     -0.24469,       -0.24469
(163, 173),     -0.24423,       -0.24423
(7, 29),     -0.24345,       -0.24345
(334, 414),     -0.24293,       -0.24293
(295, 398),     -0.24291,       -0.24291
(254, 282),     -0.24282,       -0.24282
(341, 385),     -0.24253,       -0.24253
(282, 398),     -0.2419,       -0.2419
(256, 386),     -0.24067,       -0.24067
(253, 260),     -0.2406,       -0.2406
(30, 110),     -0.24017,       -0.24017
(27, 243),     -0.24014,       -0.24014
(258, 381),     -0.23913,       -0.23913
(362, 388),     -0.23896,       -0.23896
(130, 153),     -0.23868,       -0.23868
(65, 144),     -0.23826,       -0.23826
(252, 334),     -0.23815,       -0.23815
(53, 163),     -0.23709,       -0.23709
(286, 463),     -0.23708,       -0.23708
(252, 387),     -0.23581,       -0.23581
(258, 286),     -0.23567,       -0.23567
(26, 110),     -0.23516,       -0.23516
(26, 52),     -0.23449,       -0.23449
(130, 163),     -0.23395,       -0.23395
(295, 296),     -0.23338,       -0.23338
(53, 70),     -0.23293,       -0.23293
(259, 414),     -0.23267,       -0.23267
(159, 243),     -0.23242,       -0.23242
(249, 283),     -0.23242,       -0.23242
(296, 381),     -0.23199,       -0.23199
(35, 56),     -0.23183,       -0.23183
(359, 374),     -0.23154,       -0.23154
(28, 130),     -0.23062,       -0.23062
(252, 283),     -0.23009,       -0.23009
(388, 463),     -0.22992,       -0.22992
(258, 341),     -0.2298,       -0.2298
(388, 390),     -0.22889,       -0.22889
(133, 163),     -0.22883,       -0.22883
(381, 386),     -0.22848,       -0.22848
(258, 380),     -0.2281,       -0.2281
(258, 362),     -0.22804,       -0.22804
(296, 382),     -0.22721,       -0.22721
(362, 385),     -0.2272,       -0.2272
(380, 466),     -0.22678,       -0.22678
(293, 374),     -0.22659,       -0.22659
(27, 112),     -0.22639,       -0.22639
(254, 388),     -0.22631,       -0.22631
(52, 133),     -0.22582,       -0.22582
(29, 173),     -0.22567,       -0.22567
(276, 374),     -0.22442,       -0.22442
(65, 190),     -0.22428,       -0.22428
(253, 387),     -0.2236,       -0.2236
(254, 466),     -0.2235,       -0.2235
(7, 52),     -0.22231,       -0.22231
(249, 282),     -0.22193,       -0.22193
(110, 160),     -0.22112,       -0.22112
(30, 173),     -0.22091,       -0.22091
(157, 246),     -0.22047,       -0.22047
(252, 466),     -0.22028,       -0.22028
(253, 257),     -0.21999,       -0.21999
(258, 382),     -0.21954,       -0.21954
(158, 161),     -0.21951,       -0.21951
(254, 255),     -0.21894,       -0.21894
(25, 154),     -0.21878,       -0.21878
(295, 362),     -0.21852,       -0.21852
(22, 52),     -0.21819,       -0.21819
(23, 52),     -0.2177,       -0.2177
(293, 373),     -0.21754,       -0.21754
(27, 153),     -0.2173,       -0.2173
(105, 144),     -0.21729,       -0.21729
(130, 173),     -0.21721,       -0.21721
(258, 414),     -0.21684,       -0.21684
(53, 153),     -0.2167,       -0.2167
(257, 286),     -0.21611,       -0.21611
(296, 380),     -0.21556,       -0.21556
(258, 374),     -0.21428,       -0.21428
(296, 398),     -0.21394,       -0.21394
(159, 160),     -0.21314,       -0.21314
(130, 145),     -0.21265,       -0.21265
(255, 282),     -0.21203,       -0.21203
(252, 295),     -0.21172,       -0.21172
(249, 467),     -0.21114,       -0.21114
(276, 373),     -0.21088,       -0.21088
(253, 283),     -0.21081,       -0.21081
(256, 258),     -0.21051,       -0.21051
(29, 110),     -0.21008,       -0.21008
(160, 417),     -0.20974,       -0.20974
(295, 381),     -0.20971,       -0.20971
(253, 334),     -0.20968,       -0.20968
(249, 260),     -0.20929,       -0.20929
(28, 163),     -0.20891,       -0.20891
(35, 173),     -0.2088,       -0.2088
(157, 158),     -0.20867,       -0.20867
(293, 381),     -0.20833,       -0.20833
(257, 398),     -0.20822,       -0.20822
(286, 414),     -0.20609,       -0.20609
(105, 163),     -0.20542,       -0.20542
(52, 110),     -0.20496,       -0.20496
(295, 380),     -0.20471,       -0.20471
(386, 414),     -0.20453,       -0.20453
(385, 414),     -0.20432,       -0.20432
(384, 398),     -0.20391,       -0.20391
(53, 154),     -0.2035,       -0.2035
(293, 380),     -0.20323,       -0.20323
(362, 467),     -0.20292,       -0.20292
(7, 27),     -0.20247,       -0.20247
(249, 334),     -0.20245,       -0.20245
(159, 417),     -0.20233,       -0.20233
(256, 385),     -0.20168,       -0.20168
(252, 296),     -0.20156,       -0.20156
(27, 155),     -0.20122,       -0.20122
(252, 467),     -0.20114,       -0.20114
(110, 112),     -0.20111,       -0.20111
(26, 27),     -0.20109,       -0.20109
(373, 387),     -0.20038,       -0.20038
(105, 145),     -0.2002,       -0.2002
(27, 193),     -0.20009,       -0.20009
(28, 124),     -0.19978,       -0.19978
(56, 286),     -0.19975,       -0.19975
(254, 387),     -0.19958,       -0.19958
(382, 466),     -0.19943,       -0.19943
(27, 154),     -0.19927,       -0.19927
(144, 155),     -0.1989,       -0.1989
(293, 382),     -0.19849,       -0.19849
(53, 155),     -0.19725,       -0.19725
(339, 388),     -0.19719,       -0.19719
(339, 466),     -0.19709,       -0.19709
(285, 384),     -0.1966,       -0.1966
(254, 259),     -0.1965,       -0.1965
(341, 467),     -0.19513,       -0.19513
(159, 193),     -0.1948,       -0.1948
(252, 386),     -0.19479,       -0.19479
(7, 23),     -0.19443,       -0.19443
(255, 283),     -0.19426,       -0.19426
(33, 56),     -0.19415,       -0.19415
(112, 144),     -0.19388,       -0.19388
(24, 52),     -0.19375,       -0.19375
(285, 385),     -0.19373,       -0.19373
(7, 28),     -0.19333,       -0.19333
(260, 414),     -0.19287,       -0.19287
(256, 466),     -0.19275,       -0.19275
(65, 145),     -0.19271,       -0.19271
(259, 398),     -0.19271,       -0.19271
(380, 386),     -0.19181,       -0.19181
(381, 466),     -0.19167,       -0.19167
(253, 467),     -0.19162,       -0.19162
(160, 161),     -0.19159,       -0.19159
(27, 133),     -0.19152,       -0.19152
(23, 27),     -0.19138,       -0.19138
(295, 382),     -0.19046,       -0.19046
(382, 385),     -0.19044,       -0.19044
(276, 293),     -0.19004,       -0.19004
(283, 339),     -0.18965,       -0.18965
(256, 467),     -0.18885,       -0.18885
(35, 243),     -0.18788,       -0.18788
(28, 144),     -0.18767,       -0.18767
(25, 52),     -0.18687,       -0.18687
(53, 112),     -0.18644,       -0.18644
(341, 466),     -0.18619,       -0.18619
(66, 163),     -0.18585,       -0.18585
(112, 159),     -0.18539,       -0.18539
(25, 158),     -0.18508,       -0.18508
(53, 243),     -0.18495,       -0.18495
(35, 133),     -0.18464,       -0.18464
(133, 159),     -0.18454,       -0.18454
(295, 387),     -0.18389,       -0.18389
(341, 384),     -0.18346,       -0.18346
(144, 158),     -0.18342,       -0.18342
(254, 260),     -0.18313,       -0.18313
(296, 374),     -0.18275,       -0.18275
(463, 467),     -0.18251,       -0.18251
(249, 373),     -0.18249,       -0.18249
(293, 390),     -0.18192,       -0.18192
(22, 27),     -0.18169,       -0.18169
(334, 339),     -0.18165,       -0.18165
(7, 65),     -0.18142,       -0.18142
(276, 380),     -0.18111,       -0.18111
(160, 193),     -0.18064,       -0.18064
(253, 386),     -0.1801,       -0.1801
(124, 336),     -0.17994,       -0.17994
(22, 24),     -0.17967,       -0.17967
(23, 110),     -0.17957,       -0.17957
(66, 144),     -0.17834,       -0.17834
(7, 56),     -0.1783,       -0.1783
(27, 173),     -0.1782,       -0.1782
(286, 341),     -0.17785,       -0.17785
(257, 390),     -0.17745,       -0.17745
(35, 157),     -0.177,       -0.177
(334, 398),     -0.17658,       -0.17658
(254, 283),     -0.17587,       -0.17587
(190, 414),     -0.17581,       -0.17581
(258, 259),     -0.17575,       -0.17575
(263, 374),     -0.1757,       -0.1757
(286, 362),     -0.17491,       -0.17491
(254, 334),     -0.17466,       -0.17466
(145, 154),     -0.17443,       -0.17443
(25, 130),     -0.17432,       -0.17432
(105, 155),     -0.17416,       -0.17416
(374, 386),     -0.17398,       -0.17398
(25, 161),     -0.17391,       -0.17391
(52, 193),     -0.17386,       -0.17386
(26, 144),     -0.1735,       -0.1735
(156, 296),     -0.17325,       -0.17325
(276, 381),     -0.17196,       -0.17196
(56, 124),     -0.1719,       -0.1719
(155, 159),     -0.17104,       -0.17104
(159, 161),     -0.17089,       -0.17089
(243, 463),     -0.17072,       -0.17072
(26, 53),     -0.17068,       -0.17068
(285, 386),     -0.17027,       -0.17027
(252, 258),     -0.17015,       -0.17015
(253, 359),     -0.16997,       -0.16997
(105, 154),     -0.16994,       -0.16994
(65, 66),     -0.16955,       -0.16955
(255, 466),     -0.16922,       -0.16922
(255, 334),     -0.1692,       -0.1692
(293, 362),     -0.16895,       -0.16895
(24, 27),     -0.1688,       -0.1688
(28, 56),     -0.1685,       -0.1685
(25, 30),     -0.16837,       -0.16837
(295, 384),     -0.16805,       -0.16805
(254, 257),     -0.16773,       -0.16773
(28, 33),     -0.16754,       -0.16754
(53, 133),     -0.16703,       -0.16703
(105, 153),     -0.16645,       -0.16645
(29, 193),     -0.16529,       -0.16529
(105, 243),     -0.16528,       -0.16528
(295, 374),     -0.16501,       -0.16501
(259, 286),     -0.16489,       -0.16489
(23, 24),     -0.16488,       -0.16488
(173, 247),     -0.16311,       -0.16311
(293, 463),     -0.16298,       -0.16298
(258, 398),     -0.16222,       -0.16222
(27, 417),     -0.16093,       -0.16093
(276, 382),     -0.16046,       -0.16046
(33, 110),     -0.15987,       -0.15987
(295, 388),     -0.15987,       -0.15987
(22, 53),     -0.15979,       -0.15979
(46, 144),     -0.15968,       -0.15968
(254, 386),     -0.15886,       -0.15886
(339, 387),     -0.15862,       -0.15862
(110, 159),     -0.15857,       -0.15857
(160, 246),     -0.15848,       -0.15848
(52, 173),     -0.15833,       -0.15833
(56, 163),     -0.15808,       -0.15808
(24, 159),     -0.15793,       -0.15793
(144, 173),     -0.15792,       -0.15792
(144, 190),     -0.1577,       -0.1577
(23, 53),     -0.15733,       -0.15733
(124, 144),     -0.15724,       -0.15724
(159, 246),     -0.15717,       -0.15717
(25, 160),     -0.15713,       -0.15713
(145, 159),     -0.15695,       -0.15695
(65, 193),     -0.15688,       -0.15688
(158, 246),     -0.15676,       -0.15676
(252, 385),     -0.15653,       -0.15653
(388, 398),     -0.15619,       -0.15619
(362, 466),     -0.15573,       -0.15573
(259, 339),     -0.15559,       -0.15559
(276, 390),     -0.15496,       -0.15496
(35, 295),     -0.15492,       -0.15492
(46, 145),     -0.15433,       -0.15433
(27, 110),     -0.15405,       -0.15405
(25, 65),     -0.15384,       -0.15384
(293, 341),     -0.15379,       -0.15379
(144, 157),     -0.15349,       -0.15349
(243, 362),     -0.15338,       -0.15338
(105, 133),     -0.15309,       -0.15309
(253, 295),     -0.15302,       -0.15302
(25, 29),     -0.15298,       -0.15298
(110, 173),     -0.15251,       -0.15251
(105, 112),     -0.15216,       -0.15216
(258, 373),     -0.15205,       -0.15205
(25, 246),     -0.15168,       -0.15168
(65, 243),     -0.15168,       -0.15168
(22, 23),     -0.15161,       -0.15161
(110, 155),     -0.15107,       -0.15107
(362, 384),     -0.15087,       -0.15087
(254, 359),     -0.15049,       -0.15049
(7, 130),     -0.15024,       -0.15024
(55, 163),     -0.15002,       -0.15002
(381, 385),     -0.14996,       -0.14996
(249, 259),     -0.1497,       -0.1497
(387, 414),     -0.14967,       -0.14967
(28, 35),     -0.14961,       -0.14961
(253, 296),     -0.14945,       -0.14945
(293, 359),     -0.14894,       -0.14894
(24, 110),     -0.1487,       -0.1487
(35, 155),     -0.14833,       -0.14833
(35, 296),     -0.14792,       -0.14792
(260, 339),     -0.14786,       -0.14786
(156, 336),     -0.14756,       -0.14756
(253, 385),     -0.14707,       -0.14707
(260, 398),     -0.14695,       -0.14695
(66, 190),     -0.14678,       -0.14678
(255, 388),     -0.14645,       -0.14645
(253, 263),     -0.14633,       -0.14633
(283, 414),     -0.14616,       -0.14616
(22, 163),     -0.14538,       -0.14538
(28, 193),     -0.14481,       -0.14481
(35, 336),     -0.14428,       -0.14428
(334, 467),     -0.14413,       -0.14413
(144, 243),     -0.14317,       -0.14317
(28, 190),     -0.14283,       -0.14283
(65, 155),     -0.14267,       -0.14267
(66, 145),     -0.14161,       -0.14161
(23, 159),     -0.1416,       -0.1416
(65, 110),     -0.14135,       -0.14135
(253, 258),     -0.14132,       -0.14132
(65, 133),     -0.14129,       -0.14129
(295, 386),     -0.14119,       -0.14119
(55, 107),     -0.14067,       -0.14067
(65, 173),     -0.14017,       -0.14017
(65, 112),     -0.14011,       -0.14011
(254, 263),     -0.13938,       -0.13938
(260, 276),     -0.13921,       -0.13921
(65, 153),     -0.13765,       -0.13765
(65, 154),     -0.1368,       -0.1368
(35, 285),     -0.13667,       -0.13667
(286, 381),     -0.13658,       -0.13658
(286, 382),     -0.13629,       -0.13629
(56, 65),     -0.13594,       -0.13594
(254, 467),     -0.13573,       -0.13573
(265, 293),     -0.13527,       -0.13527
(282, 300),     -0.13521,       -0.13521
(384, 387),     -0.13492,       -0.13492
(256, 293),     -0.1342,       -0.1342
(463, 466),     -0.13366,       -0.13366
(25, 247),     -0.13347,       -0.13347
(385, 386),     -0.13306,       -0.13306
(256, 286),     -0.1328,       -0.1328
(63, 144),     -0.13277,       -0.13277
(124, 155),     -0.13217,       -0.13217
(7, 53),     -0.1318,       -0.1318
(158, 193),     -0.13173,       -0.13173
(282, 466),     -0.13148,       -0.13148
(105, 190),     -0.13046,       -0.13046
(285, 336),     -0.13026,       -0.13026
(256, 384),     -0.13025,       -0.13025
(283, 359),     -0.12941,       -0.12941
