Comparing the following files: 
kelly_front_s3_v2/,  kelly_low_s3_v2/,  kelly_right_threequarter_s3_v2/,  kelly_left_threequarter_s3_v2/,  

Correlation cuttoff is -1
landmark(s),  kelly_front_s3_v2_vs_kelly_low_s3_v2,  kelly_front_s3_v2_vs_kelly_right_threequarter_s3_v2,  kelly_front_s3_v2_vs_kelly_left_threequarter_s3_v2,  kelly_low_s3_v2_vs_kelly_right_threequarter_s3_v2,  kelly_low_s3_v2_vs_kelly_left_threequarter_s3_v2,  kelly_right_threequarter_s3_v2_vs_kelly_left_threequarter_s3_v2,  average
(374, 384),     0.78931,       0.80353,       0.44711,       0.73217,       0.5489,       0.71256,       0.67226
(381, 398),     0.80953,       0.79395,       0.43901,       0.72171,       0.57328,       0.69462,       0.67202
(55, 159),     0.94122,       0.63836,       0.42502,       0.70471,       0.5033,       0.8181,       0.67178
(161, 247),     0.91925,       0.71669,       0.43238,       0.72596,       0.45528,       0.77937,       0.67149
(259, 341),     0.70071,       0.70704,       0.68697,       0.76964,       0.5565,       0.60247,       0.67056
(30, 133),     0.78802,       0.78512,       0.53277,       0.70072,       0.53252,       0.67374,       0.66881
(252, 466),     0.69195,       0.69551,       0.6483,       0.73903,       0.57313,       0.66211,       0.66834
(246, 247),     0.96263,       0.71626,       0.39087,       0.74848,       0.45231,       0.73317,       0.66729
(154, 173),     0.81871,       0.82838,       0.39201,       0.79096,       0.53244,       0.63403,       0.66609
(252, 259),     0.62003,       0.69527,       0.71798,       0.78237,       0.53842,       0.64123,       0.66588
(259, 374),     0.60067,       0.7057,       0.70831,       0.78165,       0.52713,       0.66783,       0.66522
(28, 144),     0.53246,       0.72257,       0.58966,       0.74283,       0.64091,       0.76267,       0.66518
(24, 247),     0.78065,       0.72914,       0.51267,       0.73616,       0.57726,       0.6469,       0.6638
(110, 130),     0.85183,       0.66635,       0.56963,       0.69299,       0.56843,       0.6309,       0.66336
(157, 159),     0.73736,       0.75924,       0.55798,       0.6746,       0.55647,       0.68387,       0.66159
(341, 414),     0.81497,       0.81827,       0.54518,       0.72181,       0.4787,       0.57996,       0.65982
