Comparing the following files: 
hadleigh_front_s1_v2/,  hadleigh_low_s1_v2/,  hadleigh_right_threequarter_s1_v2/,  hadleigh_left_threequarter_s1_v2/,  

Correlation cuttoff is -1
landmark(s),  hadleigh_front_s1_v2_vs_hadleigh_low_s1_v2,  hadleigh_front_s1_v2_vs_hadleigh_right_threequarter_s1_v2,  hadleigh_front_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  hadleigh_low_s1_v2_vs_hadleigh_right_threequarter_s1_v2,  hadleigh_low_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  hadleigh_right_threequarter_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  average
(23, 463),     0.44391,       0.59619,       0.52163,       0.62859,       0.48703,       0.40491,       0.51371
(144, 386),     0.58782,       0.53576,       0.38735,       0.65541,       0.53183,       0.38234,       0.51342
(35, 295),     0.683,       0.57516,       0.58382,       0.51583,       0.38209,       0.34043,       0.51339
(159, 334),     0.42947,       0.70853,       0.55269,       0.58035,       0.30725,       0.5017,       0.51333
(110, 256),     0.55857,       0.54088,       0.34773,       0.77528,       0.4125,       0.44504,       0.51333
(153, 285),     0.48084,       0.76981,       0.62437,       0.45023,       0.24312,       0.5068,       0.51253
(130, 334),     0.4918,       0.75643,       0.50993,       0.56506,       0.28025,       0.47102,       0.51241
(7, 107),     0.33594,       0.68115,       0.61578,       0.5374,       0.37015,       0.53344,       0.51231
(23, 258),     0.49982,       0.75504,       0.60069,       0.36001,       0.37598,       0.48224,       0.5123
(55, 247),     0.65974,       0.48479,       0.54512,       0.50638,       0.42684,       0.45026,       0.51219
(25, 388),     0.4927,       0.51589,       0.3913,       0.65788,       0.53381,       0.48019,       0.51196
(247, 285),     0.62828,       0.60233,       0.41461,       0.66166,       0.32451,       0.43806,       0.51158
(160, 283),     0.48101,       0.53805,       0.50706,       0.56955,       0.45341,       0.52008,       0.51153
(26, 243),     0.43712,       0.68598,       0.61922,       0.38314,       0.38776,       0.55261,       0.51097
(24, 190),     0.43791,       0.62396,       0.57268,       0.52573,       0.37476,       0.52916,       0.5107
(255, 339),     0.63426,       0.7144,       0.26531,       0.5479,       0.46089,       0.44021,       0.5105
(35, 296),     0.58947,       0.5617,       0.60445,       0.56585,       0.37615,       0.36467,       0.51038
(22, 243),     0.48121,       0.66761,       0.57207,       0.34495,       0.42831,       0.56698,       0.51019
(158, 243),     0.76272,       0.44734,       0.45866,       0.47822,       0.58197,       0.32896,       0.50965
(124, 257),     0.64368,       0.51706,       0.44798,       0.64231,       0.34648,       0.45897,       0.50941
(161, 293),     0.44886,       0.56706,       0.52906,       0.57086,       0.42066,       0.51934,       0.50931
(145, 386),     0.58611,       0.53065,       0.40749,       0.64287,       0.50631,       0.37475,       0.50803
(247, 295),     0.65137,       0.65667,       0.46504,       0.53419,       0.30935,       0.4298,       0.50774
(163, 295),     0.54355,       0.74316,       0.54628,       0.40959,       0.32783,       0.46554,       0.50599
(33, 386),     0.58568,       0.4739,       0.3279,       0.72941,       0.50374,       0.41441,       0.50584
(124, 296),     0.59225,       0.56135,       0.58808,       0.57098,       0.32386,       0.39817,       0.50578
(107, 159),     0.37679,       0.51863,       0.6633,       0.60579,       0.36444,       0.50209,       0.50517
(110, 388),     0.51893,       0.53248,       0.40647,       0.57932,       0.52384,       0.46995,       0.50516
(23, 381),     0.41474,       0.59221,       0.53781,       0.58632,       0.46663,       0.43016,       0.50464
(25, 283),     0.45706,       0.76074,       0.53939,       0.42182,       0.33377,       0.51418,       0.50449
(25, 382),     0.55618,       0.53356,       0.26946,       0.8072,       0.45109,       0.40648,       0.504
(7, 282),     0.53199,       0.75368,       0.51195,       0.41311,       0.34603,       0.46617,       0.50382
(33, 384),     0.62504,       0.48192,       0.27019,       0.76629,       0.48782,       0.39013,       0.50357
(24, 252),     0.46775,       0.52837,       0.44251,       0.71084,       0.39326,       0.47485,       0.50293
(124, 286),     0.61841,       0.55765,       0.39959,       0.69312,       0.36996,       0.37883,       0.50293
(35, 467),     0.59552,       0.5963,       0.46648,       0.55894,       0.39109,       0.40907,       0.5029
(246, 286),     0.71454,       0.45712,       0.41284,       0.56336,       0.51834,       0.35088,       0.50285
(130, 387),     0.53077,       0.51606,       0.31754,       0.7049,       0.46955,       0.47608,       0.50248
(144, 257),     0.55915,       0.67096,       0.52234,       0.38972,       0.41475,       0.45627,       0.5022
