Comparing the following files: 
kelly_front_s2_v2/,  hadleigh_front_s2_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s2_v2_vs_hadleigh_front_s2_v2,  average
(160, 417),     -0.21048,       -0.21048
(70, 287),     -0.21045,       -0.21045
(23, 52),     -0.20935,       -0.20935
(249, 467),     -0.20935,       -0.20935
(293, 373),     -0.20923,       -0.20923
(190, 308),     -0.20864,       -0.20864
(26, 308),     -0.20856,       -0.20856
(159, 160),     -0.20839,       -0.20839
(295, 381),     -0.20794,       -0.20794
(7, 52),     -0.20707,       -0.20707
(258, 374),     -0.20675,       -0.20675
(252, 295),     -0.20666,       -0.20666
(255, 282),     -0.20665,       -0.20665
(386, 414),     -0.20648,       -0.20648
(385, 414),     -0.20645,       -0.20645
(256, 258),     -0.20638,       -0.20638
(384, 398),     -0.2059,       -0.2059
(53, 154),     -0.20589,       -0.20589
(257, 398),     -0.2058,       -0.2058
(253, 283),     -0.20487,       -0.20487
(105, 144),     -0.20479,       -0.20479
(249, 260),     -0.20452,       -0.20452
(276, 373),     -0.20451,       -0.20451
(29, 110),     -0.20374,       -0.20374
(256, 385),     -0.20343,       -0.20343
(362, 467),     -0.20337,       -0.20337
(159, 417),     -0.20336,       -0.20336
(293, 381),     -0.20325,       -0.20325
(27, 155),     -0.20308,       -0.20308
(155, 291),     -0.20301,       -0.20301
(27, 193),     -0.20297,       -0.20297
(56, 286),     -0.20263,       -0.20263
(296, 380),     -0.20263,       -0.20263
(28, 124),     -0.20239,       -0.20239
(252, 467),     -0.20177,       -0.20177
(53, 155),     -0.20176,       -0.20176
(55, 292),     -0.20151,       -0.20151
(286, 414),     -0.20141,       -0.20141
(295, 380),     -0.20097,       -0.20097
(26, 27),     -0.20072,       -0.20072
(382, 466),     -0.20072,       -0.20072
(373, 387),     -0.20057,       -0.20057
(110, 112),     -0.20042,       -0.20042
(28, 287),     -0.19998,       -0.19998
(253, 334),     -0.19934,       -0.19934
(28, 163),     -0.19915,       -0.19915
(27, 154),     -0.19885,       -0.19885
(254, 387),     -0.19867,       -0.19867
(144, 155),     -0.1982,       -0.1982
(296, 398),     -0.19754,       -0.19754
(112, 144),     -0.19706,       -0.19706
