Comparing the following files: 
hadleigh_front_s1_v2/,  hadleigh_low_s1_v2/,  hadleigh_right_threequarter_s1_v2/,  hadleigh_left_threequarter_s1_v2/,  

Correlation cuttoff is -1
landmark(s),  hadleigh_front_s1_v2_vs_hadleigh_low_s1_v2,  hadleigh_front_s1_v2_vs_hadleigh_right_threequarter_s1_v2,  hadleigh_front_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  hadleigh_low_s1_v2_vs_hadleigh_right_threequarter_s1_v2,  hadleigh_low_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  hadleigh_right_threequarter_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  average
(24, 336),     0.42133,       0.7925,       0.62686,       0.54957,       0.2958,       0.58902,       0.54585
(33, 286),     0.78051,       0.5704,       0.42404,       0.63175,       0.4945,       0.3723,       0.54558
(53, 66),     0.64865,       0.44595,       0.58083,       0.71041,       0.48198,       0.40353,       0.54522
(7, 296),     0.54414,       0.77839,       0.54931,       0.55951,       0.34412,       0.49002,       0.54425
(24, 382),     0.51451,       0.61174,       0.48177,       0.7121,       0.51184,       0.43129,       0.54387
(110, 157),     0.74816,       0.6523,       0.46374,       0.69726,       0.41408,       0.28437,       0.54332
(107, 247),     0.51786,       0.46686,       0.63391,       0.69062,       0.46932,       0.48116,       0.54329
(33, 282),     0.66245,       0.74104,       0.47314,       0.5569,       0.38284,       0.44314,       0.54325
(133, 158),     0.76909,       0.52892,       0.45597,       0.53892,       0.59053,       0.37395,       0.5429
(110, 374),     0.54415,       0.57271,       0.50508,       0.68111,       0.4628,       0.4913,       0.54286
(144, 414),     0.60616,       0.61109,       0.52327,       0.59401,       0.53872,       0.38252,       0.54263
(35, 260),     0.68263,       0.66571,       0.51531,       0.55945,       0.41434,       0.41155,       0.5415
(33, 283),     0.57194,       0.71674,       0.47435,       0.57875,       0.41779,       0.48398,       0.54059
(163, 385),     0.63145,       0.55305,       0.40364,       0.71338,       0.54373,       0.39625,       0.54025
(35, 336),     0.6526,       0.47484,       0.63189,       0.67738,       0.43948,       0.36513,       0.54022
(159, 282),     0.59309,       0.72091,       0.50745,       0.57295,       0.37257,       0.47148,       0.53974
(30, 336),     0.60062,       0.57482,       0.53971,       0.68405,       0.38225,       0.45632,       0.53963
(158, 295),     0.66651,       0.75012,       0.45819,       0.67754,       0.26625,       0.4173,       0.53932
(161, 283),     0.56164,       0.61021,       0.51374,       0.57769,       0.45961,       0.51233,       0.5392
(163, 414),     0.62454,       0.60386,       0.45225,       0.65231,       0.5351,       0.36697,       0.53917
(144, 385),     0.63862,       0.54701,       0.43189,       0.68066,       0.54457,       0.3915,       0.53904
(28, 246),     0.6365,       0.69149,       0.50216,       0.58356,       0.49316,       0.32667,       0.53892
(30, 107),     0.50525,       0.38852,       0.61628,       0.68688,       0.50628,       0.52792,       0.53852
(163, 384),     0.62732,       0.535,       0.41225,       0.71699,       0.54627,       0.39138,       0.5382
(7, 56),     0.56981,       0.70171,       0.53264,       0.58272,       0.47931,       0.36099,       0.53786
(157, 173),     0.77849,       0.52667,       0.45351,       0.54699,       0.57928,       0.34185,       0.5378
(23, 398),     0.50103,       0.59972,       0.54311,       0.6386,       0.51377,       0.42897,       0.53753
(25, 107),     0.37065,       0.64126,       0.63086,       0.63336,       0.38766,       0.56105,       0.53747
(23, 286),     0.59299,       0.69126,       0.61768,       0.40213,       0.46221,       0.45677,       0.53717
(24, 387),     0.6005,       0.6196,       0.44481,       0.61461,       0.52388,       0.41833,       0.53695
(7, 385),     0.63738,       0.53484,       0.36599,       0.74569,       0.53032,       0.40707,       0.53688
