Comparing the following files: 
kelly_front_s3_v2/,  kelly_low_s3_v2/,  kelly_right_threequarter_s3_v2/,  kelly_left_threequarter_s3_v2/,  

Correlation cuttoff is -1
landmark(s),  kelly_front_s3_v2_vs_kelly_low_s3_v2,  kelly_front_s3_v2_vs_kelly_right_threequarter_s3_v2,  kelly_front_s3_v2_vs_kelly_left_threequarter_s3_v2,  kelly_low_s3_v2_vs_kelly_right_threequarter_s3_v2,  kelly_low_s3_v2_vs_kelly_left_threequarter_s3_v2,  kelly_right_threequarter_s3_v2_vs_kelly_left_threequarter_s3_v2,  average
(30, 153),     0.80728,       0.82868,       0.50715,       0.79226,       0.56943,       0.73231,       0.70618
(257, 463),     0.75538,       0.73672,       0.7407,       0.75061,       0.56456,       0.68905,       0.70617
(373, 386),     0.79364,       0.78215,       0.5309,       0.76634,       0.53498,       0.8277,       0.70595
(28, 190),     0.75427,       0.71401,       0.58776,       0.76233,       0.60263,       0.81131,       0.70539
(24, 29),     0.65455,       0.6984,       0.583,       0.83649,       0.66017,       0.79855,       0.70519
(24, 27),     0.60304,       0.684,       0.61286,       0.83469,       0.67681,       0.81792,       0.70489
(30, 155),     0.83182,       0.80917,       0.54398,       0.74982,       0.56784,       0.7216,       0.70404
(145, 157),     0.76219,       0.81618,       0.51174,       0.76978,       0.58206,       0.78215,       0.70402
(258, 414),     0.74981,       0.74203,       0.75021,       0.72854,       0.57319,       0.67785,       0.7036
(253, 384),     0.87162,       0.81462,       0.4904,       0.75265,       0.54158,       0.74503,       0.70265
(256, 259),     0.65989,       0.70518,       0.76059,       0.78375,       0.59303,       0.70832,       0.70179
(23, 30),     0.77636,       0.77494,       0.52937,       0.80538,       0.60501,       0.71885,       0.70165
(112, 161),     0.9106,       0.80808,       0.57316,       0.75324,       0.50321,       0.65766,       0.70099
(259, 380),     0.64012,       0.72063,       0.75513,       0.77723,       0.57802,       0.72928,       0.70007
(249, 466),     0.8423,       0.7678,       0.5116,       0.77617,       0.5149,       0.78594,       0.69978
(339, 386),     0.81742,       0.77928,       0.51512,       0.74895,       0.4968,       0.83407,       0.69861
(30, 145),     0.75381,       0.80503,       0.51058,       0.78866,       0.57913,       0.75022,       0.6979
(257, 374),     0.6415,       0.75451,       0.69728,       0.78408,       0.56221,       0.73353,       0.69552
(7, 110),     0.89301,       0.65963,       0.57165,       0.65152,       0.61692,       0.77662,       0.69489
(30, 112),     0.83601,       0.80518,       0.53194,       0.7492,       0.54485,       0.69299,       0.69336
(373, 466),     0.78268,       0.78175,       0.63669,       0.73264,       0.53284,       0.68703,       0.69227
(26, 173),     0.89153,       0.7781,       0.45379,       0.80566,       0.54441,       0.67724,       0.69179
(256, 398),     0.87626,       0.76835,       0.45887,       0.74988,       0.58168,       0.7112,       0.69104
(29, 144),     0.61275,       0.72069,       0.55561,       0.81603,       0.63284,       0.80452,       0.69041
(155, 161),     0.8529,       0.82123,       0.60153,       0.72693,       0.52298,       0.61507,       0.69011
(27, 144),     0.56941,       0.71178,       0.58621,       0.81023,       0.64318,       0.81182,       0.68877
(259, 382),     0.7073,       0.72472,       0.71917,       0.7677,       0.56531,       0.64644,       0.68844
(157, 158),     0.79422,       0.72891,       0.57964,       0.70511,       0.53276,       0.78757,       0.68804
(24, 30),     0.71852,       0.72339,       0.52435,       0.80586,       0.62358,       0.73249,       0.68803
(25, 159),     0.72469,       0.72737,       0.56522,       0.70196,       0.54774,       0.85513,       0.68702
(258, 374),     0.6803,       0.79192,       0.61277,       0.73717,       0.59087,       0.69558,       0.68477
(24, 28),     0.56581,       0.68387,       0.61891,       0.7793,       0.68201,       0.77288,       0.6838
(253, 257),     0.61929,       0.72564,       0.70258,       0.78895,       0.55678,       0.70747,       0.68345
(387, 390),     0.72624,       0.75588,       0.5138,       0.76471,       0.51803,       0.81698,       0.68261
(373, 385),     0.73482,       0.78891,       0.48754,       0.74346,       0.54296,       0.79279,       0.68175
(263, 339),     0.83297,       0.67452,       0.60558,       0.76979,       0.53725,       0.66791,       0.68134
(155, 190),     0.80484,       0.75934,       0.52697,       0.69919,       0.61565,       0.67693,       0.68049
(25, 130),     0.80186,       0.69597,       0.58548,       0.73862,       0.57578,       0.68009,       0.67963
(30, 160),     0.94272,       0.67413,       0.46676,       0.67526,       0.47687,       0.8392,       0.67916
(253, 466),     0.78239,       0.73222,       0.59566,       0.77048,       0.53117,       0.65848,       0.6784
(382, 387),     0.67663,       0.72818,       0.61224,       0.77033,       0.55051,       0.73112,       0.67817
(57, 159),     0.83085,       0.62719,       0.43864,       0.80608,       0.58225,       0.76779,       0.67547
(30, 144),     0.66196,       0.75083,       0.49819,       0.78851,       0.5892,       0.76003,       0.67479
(29, 190),     0.76384,       0.77512,       0.55378,       0.68848,       0.5522,       0.71472,       0.67469
(23, 56),     0.64721,       0.75145,       0.57333,       0.70764,       0.6627,       0.70318,       0.67425
(55, 159),     0.94091,       0.63734,       0.42432,       0.7054,       0.5071,       0.82,       0.67251
(22, 246),     0.92031,       0.76786,       0.54097,       0.73646,       0.49841,       0.56629,       0.67172
(259, 341),     0.70201,       0.70855,       0.68661,       0.7713,       0.55384,       0.60144,       0.67063
(253, 258),     0.67738,       0.77459,       0.61798,       0.73672,       0.56403,       0.6529,       0.6706
(381, 398),     0.80826,       0.79574,       0.43759,       0.72065,       0.56653,       0.69419,       0.67049
(161, 247),     0.91983,       0.71564,       0.43234,       0.72428,       0.44824,       0.77897,       0.66988
(374, 384),     0.78684,       0.80323,       0.44405,       0.72862,       0.54273,       0.71195,       0.66957
(30, 133),     0.78787,       0.78081,       0.52724,       0.69948,       0.53988,       0.67596,       0.66854
(159, 306),     0.83837,       0.74689,       0.43465,       0.80746,       0.5183,       0.65919,       0.66748
