Comparing the following files: 
krithika_front_s3_v1/groups,  krithika_low_s3_v1/groups,  krithika_threequarter_s3_v1/groups,  

Correlation cuttoff is 0.8
landmark(s),  krithika_front_s3_v1groups_vs_krithika_low_s3_v1groups,  krithika_front_s3_v1groups_vs_krithika_threequarter_s3_v1groups,  krithika_low_s3_v1groups_vs_krithika_threequarter_s3_v1groups,  average
(84, 270),     0.8226,       0.90798,       0.75213,       0.82757
(40, 61),     0.81275,       0.91797,       0.75165,       0.82746
(327, 402),     0.84228,       0.90597,       0.73408,       0.82744
(65, 314),     0.77687,       0.9006,       0.80414,       0.8272
(39, 76),     0.82117,       0.90211,       0.75734,       0.82687
(13, 178),     0.84337,       0.91413,       0.72251,       0.82667
(81, 146),     0.82934,       0.93277,       0.71726,       0.82646
(81, 95),     0.84454,       0.91609,       0.71751,       0.82605
(107, 317),     0.78939,       0.90697,       0.78164,       0.826
(181, 270),     0.81737,       0.90915,       0.75117,       0.8259
(181, 191),     0.832,       0.90545,       0.73895,       0.82547
(178, 312),     0.84304,       0.90713,       0.72581,       0.82533
(98, 178),     0.84593,       0.8981,       0.73064,       0.82489
(14, 105),     0.80214,       0.91237,       0.7594,       0.82464
(82, 88),     0.84143,       0.91426,       0.718,       0.82456
(87, 270),     0.82734,       0.90047,       0.74547,       0.82443
(0, 324),     0.8461,       0.8788,       0.74756,       0.82415
(107, 321),     0.78951,       0.86893,       0.81183,       0.82342
(105, 314),     0.78676,       0.89284,       0.79064,       0.82341
(55, 317),     0.7893,       0.90969,       0.77059,       0.82319
(66, 87),     0.79035,       0.91651,       0.7625,       0.82312
(91, 311),     0.81229,       0.91968,       0.73349,       0.82182
(37, 57),     0.8323,       0.8854,       0.74727,       0.82166
(14, 65),     0.79226,       0.91203,       0.76043,       0.82157
(107, 318),     0.80073,       0.874,       0.7899,       0.82154
(98, 375),     0.82276,       0.88324,       0.7578,       0.82127
(55, 321),     0.79384,       0.87197,       0.79738,       0.82106
(105, 318),     0.82732,       0.86852,       0.76693,       0.82092
(80, 314),     0.84221,       0.88888,       0.73151,       0.82087
(39, 61),     0.81073,       0.90589,       0.74494,       0.82052
(37, 78),     0.82144,       0.87596,       0.76287,       0.82009
(52, 314),     0.78089,       0.89085,       0.78769,       0.81981
(181, 185),     0.8195,       0.9055,       0.73341,       0.81947
(314, 327),     0.81592,       0.9007,       0.74142,       0.81935
(65, 318),     0.8154,       0.88428,       0.7583,       0.81933
(39, 57),     0.83146,       0.88794,       0.73841,       0.81927
(55, 318),     0.80329,       0.87888,       0.77492,       0.81903
(91, 98),     0.84254,       0.88333,       0.73095,       0.81894
(178, 270),     0.81671,       0.89234,       0.74725,       0.81877
(87, 105),     0.79377,       0.91435,       0.74758,       0.81857
(14, 52),     0.79584,       0.90875,       0.75096,       0.81852
(98, 324),     0.84076,       0.86665,       0.7481,       0.8185
(95, 269),     0.82078,       0.88238,       0.75204,       0.8184
(312, 375),     0.83362,       0.88971,       0.73032,       0.81788
(65, 321),     0.80898,       0.87061,       0.77321,       0.8176
(14, 311),     0.83191,       0.90412,       0.71634,       0.81746
(37, 62),     0.81877,       0.87343,       0.75949,       0.81723
(17, 310),     0.82361,       0.8984,       0.72923,       0.81708
(317, 327),     0.83049,       0.90495,       0.71436,       0.8166
(107, 314),     0.74628,       0.8959,       0.80668,       0.81629
(65, 87),     0.78628,       0.91371,       0.74832,       0.8161
(318, 409),     0.83202,       0.89964,       0.71655,       0.81607
(17, 66),     0.75458,       0.9023,       0.79059,       0.81582
(55, 314),     0.74848,       0.89969,       0.79887,       0.81568
(146, 269),     0.79733,       0.90057,       0.74773,       0.81521
(66, 178),     0.77888,       0.91619,       0.7503,       0.81512
(91, 270),     0.79743,       0.90034,       0.74748,       0.81508
(13, 88),     0.8354,       0.89559,       0.71285,       0.81461
(84, 310),     0.81749,       0.89582,       0.72932,       0.81421
(405, 409),     0.81057,       0.88903,       0.74218,       0.81393
(88, 98),     0.84661,       0.8782,       0.71647,       0.81376
(82, 146),     0.81433,       0.92169,       0.70337,       0.81313
(37, 375),     0.83248,       0.87333,       0.73352,       0.81311
(52, 87),     0.78837,       0.91136,       0.73925,       0.81299
(82, 321),     0.84589,       0.87487,       0.71818,       0.81298
(37, 76),     0.81051,       0.87686,       0.75115,       0.81284
(39, 321),     0.84185,       0.88266,       0.71352,       0.81268
(63, 317),     0.79824,       0.8978,       0.73886,       0.81163
(181, 310),     0.80658,       0.89718,       0.7307,       0.81149
(105, 178),     0.78114,       0.9156,       0.7377,       0.81148
(63, 402),     0.80356,       0.88393,       0.74639,       0.81129
(14, 107),     0.76744,       0.90399,       0.76196,       0.81113
(53, 317),     0.79486,       0.89853,       0.73944,       0.81094
(193, 405),     0.74758,       0.90211,       0.78198,       0.81056
(17, 65),     0.75133,       0.89849,       0.78176,       0.81053
(53, 402),     0.8011,       0.88623,       0.7437,       0.81034
(405, 415),     0.81477,       0.88104,       0.73492,       0.81024
(82, 95),     0.83066,       0.89696,       0.70287,       0.81016
(88, 312),     0.82884,       0.88867,       0.71245,       0.80999
(308, 375),     0.80839,       0.87513,       0.74576,       0.80976
(17, 327),     0.80771,       0.89381,       0.72587,       0.80913
(105, 321),     0.82252,       0.83621,       0.7679,       0.80888
(65, 178),     0.77596,       0.91347,       0.73599,       0.80847
(14, 81),     0.83374,       0.86884,       0.72118,       0.80792
(66, 84),     0.74207,       0.90728,       0.77433,       0.80789
(37, 61),     0.80111,       0.88124,       0.74122,       0.80786
(193, 402),     0.76395,       0.91325,       0.74569,       0.80763
(17, 105),     0.75868,       0.89506,       0.76791,       0.80722
(87, 311),     0.81619,       0.89512,       0.71018,       0.80716
(0, 57),     0.81519,       0.87724,       0.72847,       0.80697
(14, 55),     0.76593,       0.90643,       0.74846,       0.80694
(52, 178),     0.77743,       0.913,       0.73008,       0.80684
(14, 327),     0.8195,       0.89895,       0.70063,       0.80636
(52, 318),     0.81096,       0.8691,       0.73849,       0.80618
(87, 107),     0.76444,       0.90459,       0.7491,       0.80604
