Comparing the following files: 
kelly_front_s28_v2/,  kelly_front_s27_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s28_v2_vs_kelly_front_s27_v2,  average
(76, 466),     -0.22144,       -0.22144
(27, 417),     -0.22127,       -0.22127
(7, 295),     -0.22108,       -0.22108
(46, 78),     -0.22099,       -0.22099
(61, 339),     -0.22097,       -0.22097
(160, 283),     -0.22091,       -0.22091
(263, 293),     -0.22069,       -0.22069
(30, 61),     -0.22046,       -0.22046
(283, 384),     -0.22039,       -0.22039
(285, 388),     -0.21985,       -0.21985
(33, 336),     -0.21974,       -0.21974
(306, 308),     -0.21967,       -0.21967
(29, 52),     -0.21954,       -0.21954
(296, 466),     -0.21913,       -0.21913
(78, 466),     -0.21843,       -0.21843
(57, 156),     -0.2178,       -0.2178
(22, 26),     -0.21757,       -0.21757
(258, 417),     -0.21756,       -0.21756
(255, 295),     -0.2173,       -0.2173
(246, 292),     -0.21723,       -0.21723
(157, 308),     -0.21655,       -0.21655
(70, 98),     -0.21576,       -0.21576
(256, 341),     -0.21551,       -0.21551
(61, 466),     -0.21531,       -0.21531
(61, 383),     -0.21516,       -0.21516
(161, 295),     -0.21438,       -0.21438
(46, 61),     -0.21399,       -0.21399
(159, 283),     -0.21375,       -0.21375
(7, 62),     -0.21336,       -0.21336
(110, 124),     -0.21303,       -0.21303
(255, 334),     -0.21288,       -0.21288
(296, 384),     -0.21285,       -0.21285
(76, 260),     -0.21239,       -0.21239
(57, 383),     -0.21216,       -0.21216
(254, 382),     -0.21215,       -0.21215
(254, 381),     -0.21208,       -0.21208
(23, 112),     -0.21188,       -0.21188
(98, 105),     -0.2118,       -0.2118
(276, 384),     -0.2113,       -0.2113
(247, 291),     -0.21125,       -0.21125
(255, 285),     -0.21118,       -0.21118
(160, 282),     -0.21083,       -0.21083
(105, 336),     -0.21061,       -0.21061
(336, 388),     -0.21051,       -0.21051
(161, 334),     -0.21044,       -0.21044
(78, 327),     -0.20985,       -0.20985
(25, 61),     -0.20959,       -0.20959
(62, 327),     -0.20928,       -0.20928
(70, 291),     -0.20904,       -0.20904
(259, 295),     -0.20897,       -0.20897
(336, 398),     -0.20884,       -0.20884
(76, 383),     -0.20873,       -0.20873
(65, 98),     -0.20863,       -0.20863
(163, 276),     -0.2086,       -0.2086
(76, 327),     -0.20849,       -0.20849
(7, 76),     -0.20745,       -0.20745
(70, 306),     -0.20708,       -0.20708
(7, 78),     -0.20698,       -0.20698
(160, 293),     -0.20661,       -0.20661
(98, 254),     -0.2059,       -0.2059
(61, 390),     -0.20577,       -0.20577
(27, 336),     -0.20569,       -0.20569
(30, 292),     -0.20524,       -0.20524
(65, 105),     -0.20523,       -0.20523
(282, 466),     -0.20443,       -0.20443
(255, 374),     -0.20403,       -0.20403
(246, 308),     -0.20396,       -0.20396
(295, 388),     -0.20379,       -0.20379
(70, 282),     -0.20317,       -0.20317
(70, 285),     -0.20304,       -0.20304
(63, 295),     -0.2029,       -0.2029
(265, 383),     -0.20287,       -0.20287
(159, 257),     -0.20279,       -0.20279
(70, 292),     -0.20275,       -0.20275
(62, 383),     -0.20249,       -0.20249
(158, 291),     -0.20206,       -0.20206
(110, 154),     -0.2019,       -0.2019
(63, 98),     -0.20181,       -0.20181
(70, 130),     -0.20157,       -0.20157
(255, 282),     -0.20144,       -0.20144
(78, 383),     -0.20112,       -0.20112
(70, 295),     -0.20078,       -0.20078
(291, 308),     -0.1998,       -0.1998
(256, 382),     -0.19896,       -0.19896
(7, 258),     -0.19889,       -0.19889
(247, 306),     -0.19885,       -0.19885
(295, 334),     -0.19824,       -0.19824
(61, 327),     -0.19819,       -0.19819
(27, 295),     -0.19813,       -0.19813
(334, 384),     -0.19808,       -0.19808
(163, 283),     -0.19803,       -0.19803
(63, 285),     -0.1976,       -0.1976
(157, 293),     -0.19758,       -0.19758
(124, 157),     -0.1975,       -0.1975
(70, 308),     -0.19744,       -0.19744
(158, 283),     -0.19723,       -0.19723
(259, 296),     -0.1966,       -0.1966
(27, 105),     -0.19655,       -0.19655
(70, 283),     -0.1965,       -0.1965
(98, 257),     -0.1963,       -0.1963
(161, 306),     -0.19614,       -0.19614
(52, 70),     -0.19573,       -0.19573
(130, 283),     -0.19565,       -0.19565
(107, 246),     -0.1956,       -0.1956
(110, 133),     -0.19529,       -0.19529
(7, 61),     -0.19521,       -0.19521
(46, 173),     -0.19493,       -0.19493
(27, 70),     -0.19488,       -0.19488
(159, 258),     -0.1945,       -0.1945
(70, 287),     -0.19448,       -0.19448
(260, 296),     -0.19437,       -0.19437
(27, 66),     -0.19423,       -0.19423
(27, 282),     -0.19421,       -0.19421
(158, 287),     -0.19397,       -0.19397
(98, 107),     -0.19393,       -0.19393
