Comparing the following files: 
kelly_front_s4_v2/,  kelly_low_s4_v2/,  kelly_right_threequarter_s4_v2/,  kelly_left_threequarter_s4_v2/,  

Correlation cuttoff is -1
landmark(s),  kelly_front_s4_v2_vs_kelly_low_s4_v2,  kelly_front_s4_v2_vs_kelly_right_threequarter_s4_v2,  kelly_front_s4_v2_vs_kelly_left_threequarter_s4_v2,  kelly_low_s4_v2_vs_kelly_right_threequarter_s4_v2,  kelly_low_s4_v2_vs_kelly_left_threequarter_s4_v2,  kelly_right_threequarter_s4_v2_vs_kelly_left_threequarter_s4_v2,  average
(66, 88),     0.86026,       0.89608,       0.69273,       0.8897,       0.73363,       0.75407,       0.80441
(84, 336),     0.90426,       0.89073,       0.62684,       0.95042,       0.7211,       0.73215,       0.80425
(39, 95),     0.87607,       0.8642,       0.69289,       0.94584,       0.75119,       0.69466,       0.80414
(37, 375),     0.87442,       0.95254,       0.66797,       0.90075,       0.74316,       0.68283,       0.80361
(17, 336),     0.90203,       0.90226,       0.62047,       0.94784,       0.71951,       0.72931,       0.80357
(37, 146),     0.88252,       0.8389,       0.68425,       0.93175,       0.75859,       0.72291,       0.80315
(84, 185),     0.86716,       0.91369,       0.71747,       0.87163,       0.72662,       0.7222,       0.80313
(14, 193),     0.87588,       0.90223,       0.70772,       0.87568,       0.77359,       0.68336,       0.80308
(66, 317),     0.8705,       0.93872,       0.68726,       0.86062,       0.71257,       0.74585,       0.80259
(91, 107),     0.87392,       0.87774,       0.67903,       0.89881,       0.7411,       0.74338,       0.80233
(87, 193),     0.87497,       0.89853,       0.69697,       0.89095,       0.75942,       0.68987,       0.80179
(66, 314),     0.89293,       0.93663,       0.67593,       0.86271,       0.67944,       0.75626,       0.80065
(53, 87),     0.85327,       0.93776,       0.71363,       0.8439,       0.68532,       0.76866,       0.80042
(160, 181),     0.83301,       0.94768,       0.68882,       0.86969,       0.71459,       0.74753,       0.80022
(159, 181),     0.83883,       0.94906,       0.6759,       0.87889,       0.71511,       0.74129,       0.79985
(55, 91),     0.87691,       0.87637,       0.66051,       0.91354,       0.73952,       0.73078,       0.79961
(63, 178),     0.83322,       0.94112,       0.72921,       0.84309,       0.67843,       0.77206,       0.79952
(87, 269),     0.86037,       0.87283,       0.67224,       0.9397,       0.73623,       0.71196,       0.79889
(17, 105),     0.86714,       0.94084,       0.71555,       0.83066,       0.66332,       0.77572,       0.79887
(53, 84),     0.8556,       0.93602,       0.73242,       0.81993,       0.65937,       0.78927,       0.79877
(193, 402),     0.84161,       0.91322,       0.72766,       0.82775,       0.79049,       0.69056,       0.79855
(84, 159),     0.84118,       0.95624,       0.6757,       0.86304,       0.7104,       0.74089,       0.79791
(405, 409),     0.831,       0.85411,       0.71804,       0.92189,       0.72536,       0.73576,       0.79769
(91, 105),     0.86038,       0.91062,       0.73423,       0.83621,       0.67168,       0.7729,       0.79767
(65, 91),     0.87485,       0.87812,       0.68345,       0.87327,       0.717,       0.75761,       0.79738
(14, 105),     0.85557,       0.93999,       0.70544,       0.83569,       0.68649,       0.75902,       0.79703
(88, 105),     0.85091,       0.91414,       0.71038,       0.85649,       0.69224,       0.7566,       0.79679
(91, 193),     0.8697,       0.8591,       0.72588,       0.89181,       0.7578,       0.67393,       0.79637
(84, 310),     0.87756,       0.84094,       0.66635,       0.93704,       0.75128,       0.7037,       0.79615
(84, 160),     0.83356,       0.95394,       0.6878,       0.84942,       0.70732,       0.74461,       0.79611
(63, 181),     0.83234,       0.94286,       0.75432,       0.81246,       0.64441,       0.7891,       0.79591
(46, 178),     0.83254,       0.93796,       0.72076,       0.84706,       0.66341,       0.77349,       0.79587
(98, 178),     0.84758,       0.9211,       0.7094,       0.95762,       0.62624,       0.71324,       0.79586
(17, 52),     0.87812,       0.92765,       0.69478,       0.83221,       0.66845,       0.77384,       0.79584
(321, 417),     0.82354,       0.89872,       0.7392,       0.82607,       0.77356,       0.71301,       0.79568
(181, 417),     0.88799,       0.83259,       0.71677,       0.89201,       0.76129,       0.68174,       0.7954
(317, 327),     0.86049,       0.91655,       0.69236,       0.97151,       0.64748,       0.68392,       0.79538
