Comparing the following files: 
kelly_front_s1_v2/,  hadleigh_front_s1_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s1_v2_vs_hadleigh_front_s1_v2,  average
(33, 76),     -0.26053,       -0.26053
(191, 317),     -0.2602,       -0.2602
(158, 327),     -0.26017,       -0.26017
(95, 415),     -0.25944,       -0.25944
(33, 78),     -0.25933,       -0.25933
(76, 405),     -0.25925,       -0.25925
(159, 246),     -0.25906,       -0.25906
(160, 246),     -0.25904,       -0.25904
(402, 415),     -0.25901,       -0.25901
(308, 317),     -0.25893,       -0.25893
(87, 318),     -0.25867,       -0.25867
(33, 61),     -0.25861,       -0.25861
(353, 374),     -0.2584,       -0.2584
(87, 178),     -0.25775,       -0.25775
(159, 300),     -0.25759,       -0.25759
(80, 287),     -0.25699,       -0.25699
(87, 402),     -0.25519,       -0.25519
(124, 153),     -0.25444,       -0.25444
(178, 191),     -0.25286,       -0.25286
(46, 66),     -0.25192,       -0.25192
(276, 384),     -0.25132,       -0.25132
(46, 133),     -0.25114,       -0.25114
(55, 334),     -0.25099,       -0.25099
(52, 53),     -0.25064,       -0.25064
(153, 417),     -0.24969,       -0.24969
(61, 321),     -0.24957,       -0.24957
(7, 158),     -0.24945,       -0.24945
(53, 375),     -0.24909,       -0.24909
(95, 178),     -0.24887,       -0.24887
(14, 292),     -0.24887,       -0.24887
(78, 317),     -0.24853,       -0.24853
(178, 324),     -0.24808,       -0.24808
(145, 417),     -0.24714,       -0.24714
(80, 185),     -0.24702,       -0.24702
(124, 145),     -0.24646,       -0.24646
(178, 308),     -0.24607,       -0.24607
(144, 417),     -0.24578,       -0.24578
(353, 381),     -0.24562,       -0.24562
(65, 287),     -0.24536,       -0.24536
(55, 293),     -0.24408,       -0.24408
(53, 324),     -0.24386,       -0.24386
(66, 287),     -0.24374,       -0.24374
(14, 88),     -0.24345,       -0.24345
(95, 265),     -0.24309,       -0.24309
(178, 317),     -0.2422,       -0.2422
(308, 402),     -0.24171,       -0.24171
(178, 318),     -0.24162,       -0.24162
(163, 291),     -0.24155,       -0.24155
(300, 382),     -0.24103,       -0.24103
(246, 409),     -0.24102,       -0.24102
(65, 291),     -0.24066,       -0.24066
(62, 317),     -0.24038,       -0.24038
(53, 155),     -0.24034,       -0.24034
(87, 265),     -0.24018,       -0.24018
(144, 292),     -0.23961,       -0.23961
(95, 402),     -0.23942,       -0.23942
(14, 78),     -0.23927,       -0.23927
(157, 300),     -0.23876,       -0.23876
(124, 415),     -0.23838,       -0.23838
(293, 295),     -0.23838,       -0.23838
(78, 156),     -0.23826,       -0.23826
(62, 156),     -0.23652,       -0.23652
(88, 310),     -0.23644,       -0.23644
(78, 310),     -0.23615,       -0.23615
(276, 382),     -0.23574,       -0.23574
(153, 193),     -0.23391,       -0.23391
(7, 76),     -0.23327,       -0.23327
(7, 61),     -0.23293,       -0.23293
(91, 353),     -0.2327,       -0.2327
(191, 327),     -0.23248,       -0.23248
(53, 409),     -0.2322,       -0.2322
(318, 324),     -0.23194,       -0.23194
(14, 91),     -0.2319,       -0.2319
(52, 327),     -0.2314,       -0.2314
(185, 191),     -0.23139,       -0.23139
(160, 327),     -0.23098,       -0.23098
(156, 318),     -0.23096,       -0.23096
(7, 62),     -0.23089,       -0.23089
(87, 292),     -0.23058,       -0.23058
(76, 156),     -0.2301,       -0.2301
(84, 383),     -0.22992,       -0.22992
(144, 308),     -0.22937,       -0.22937
(14, 62),     -0.22866,       -0.22866
(14, 191),     -0.22861,       -0.22861
(7, 78),     -0.22852,       -0.22852
(124, 144),     -0.22839,       -0.22839
(78, 287),     -0.22823,       -0.22823
(146, 317),     -0.22818,       -0.22818
(193, 287),     -0.22797,       -0.22797
(353, 362),     -0.22785,       -0.22785
