Comparing the following files: 
hadleigh_front_s2_v2/,  hadleigh_low_s2_v2/,  hadleigh_right_threequarter_s2_v2/,  hadleigh_left_threequarter_s2_v2/,  

Correlation cuttoff is -1
landmark(s),  hadleigh_front_s2_v2_vs_hadleigh_low_s2_v2,  hadleigh_front_s2_v2_vs_hadleigh_right_threequarter_s2_v2,  hadleigh_front_s2_v2_vs_hadleigh_left_threequarter_s2_v2,  hadleigh_low_s2_v2_vs_hadleigh_right_threequarter_s2_v2,  hadleigh_low_s2_v2_vs_hadleigh_left_threequarter_s2_v2,  hadleigh_right_threequarter_s2_v2_vs_hadleigh_left_threequarter_s2_v2,  average
(81, 312),     0.94062,       0.94514,       0.882,       0.89765,       0.89164,       0.87922,       0.90605
(39, 375),     0.92584,       0.91177,       0.89318,       0.95174,       0.91405,       0.83952,       0.90602
(78, 306),     0.91394,       0.9405,       0.86753,       0.93841,       0.91066,       0.8646,       0.90594
(178, 318),     0.94538,       0.90647,       0.90743,       0.88548,       0.91091,       0.87962,       0.90588
(76, 292),     0.91289,       0.93899,       0.87351,       0.93227,       0.91108,       0.86498,       0.90562
(80, 375),     0.95447,       0.93396,       0.89339,       0.91243,       0.92314,       0.81421,       0.90527
(291, 405),     0.91069,       0.92237,       0.89348,       0.92896,       0.89515,       0.88092,       0.90526
(306, 375),     0.91778,       0.94156,       0.87161,       0.89934,       0.90499,       0.89611,       0.90523
(276, 415),     0.93437,       0.95935,       0.89104,       0.92192,       0.87967,       0.84382,       0.90503
(61, 308),     0.91205,       0.93831,       0.87527,       0.92873,       0.90974,       0.86592,       0.905
(76, 308),     0.90856,       0.93819,       0.87335,       0.93037,       0.91014,       0.86548,       0.90435
(270, 388),     0.91797,       0.94847,       0.88433,       0.93895,       0.86752,       0.86558,       0.9038
(61, 409),     0.91577,       0.94373,       0.8825,       0.90829,       0.88522,       0.88501,       0.90342
(390, 409),     0.93095,       0.93087,       0.89496,       0.93372,       0.8802,       0.84971,       0.9034
(270, 373),     0.9154,       0.93448,       0.89711,       0.93791,       0.86983,       0.86289,       0.90294
(78, 310),     0.9086,       0.94439,       0.89921,       0.88159,       0.88689,       0.89618,       0.90281
(146, 324),     0.91715,       0.93924,       0.8721,       0.92804,       0.88811,       0.871,       0.90261
(95, 375),     0.93504,       0.92899,       0.87788,       0.90857,       0.91561,       0.84895,       0.90251
(146, 375),     0.91474,       0.93752,       0.88904,       0.90225,       0.89653,       0.87491,       0.9025
(62, 292),     0.90544,       0.93768,       0.86783,       0.93209,       0.90769,       0.86207,       0.90213
(373, 415),     0.94087,       0.931,       0.87728,       0.93984,       0.88838,       0.83346,       0.9018
(37, 308),     0.93669,       0.8732,       0.92,       0.92932,       0.93173,       0.81945,       0.90173
(81, 375),     0.95213,       0.91255,       0.90358,       0.92115,       0.92214,       0.79773,       0.90155
(310, 387),     0.93165,       0.95295,       0.85115,       0.9417,       0.88629,       0.84536,       0.90152
(17, 308),     0.8994,       0.92406,       0.89306,       0.91783,       0.87897,       0.89574,       0.90151
(82, 409),     0.95714,       0.88498,       0.92162,       0.91649,       0.92258,       0.80578,       0.90143
(276, 409),     0.92556,       0.94976,       0.90276,       0.91257,       0.8725,       0.8414,       0.90076
(310, 383),     0.90739,       0.96318,       0.89844,       0.85715,       0.89661,       0.88162,       0.90073
(62, 308),     0.90089,       0.93679,       0.86726,       0.93009,       0.90665,       0.86239,       0.90068
(62, 310),     0.90386,       0.94457,       0.89915,       0.87501,       0.88837,       0.89274,       0.90062
(78, 292),     0.90249,       0.93767,       0.86336,       0.93275,       0.90564,       0.86085,       0.90046
(39, 318),     0.9172,       0.92591,       0.86235,       0.95612,       0.90616,       0.83162,       0.89989
(191, 375),     0.93301,       0.95013,       0.86871,       0.90391,       0.91393,       0.82826,       0.89966
(37, 292),     0.93551,       0.86528,       0.92034,       0.92627,       0.9314,       0.81687,       0.89928
(40, 287),     0.9242,       0.94781,       0.87164,       0.91889,       0.85306,       0.87986,       0.89924
(310, 374),     0.92912,       0.93255,       0.86798,       0.93508,       0.89135,       0.8375,       0.89893
(263, 308),     0.91679,       0.92709,       0.89535,       0.92989,       0.86764,       0.85681,       0.89893
(146, 308),     0.93407,       0.91034,       0.91193,       0.85763,       0.92115,       0.858,       0.89885
(146, 306),     0.9353,       0.91272,       0.91194,       0.85377,       0.92089,       0.8582,       0.8988
(78, 308),     0.89786,       0.93666,       0.86229,       0.93066,       0.90436,       0.86088,       0.89879
(146, 415),     0.91857,       0.92563,       0.9139,       0.84852,       0.89291,       0.89309,       0.89877
(388, 409),     0.9267,       0.94192,       0.87965,       0.93006,       0.86926,       0.84349,       0.89851
